MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
[Ni2(ceta)(bpe)2(H2O)3]·11H2O<|>2,FITGEW,Water Stability,Unstable,,"The crystals of 2 tend to deteriorate gradually and lost crystallinity due to loss of coordination water molecules after 130°C. These observations suggest that the departure of the coordination water molecules leads to the collapse of the framework and results in an amorphous phase, which makes it hard to obtain a dehydrated framework for gas adsorption studies.",10.1016/j.poly.2013.09.012
{[Cu(cpa)2]}n<|>1,NUKNEN,Water Stability,Stable,,"Once isolated, it is stable in air and insoluble in common organic solvents as well as water.",10.1016/j.ica.2009.05.054
"{[Zn(l-Tyr)2(μ-4,4′-bpy)]·4H2O}n<|>complex 1",NOQQUH,Water Stability,Unstable,,"Complex 1 is hardly soluble in water and most of organic solvents, except for DMSO.",10.1016/j.poly.2014.08.066
AgBZT<|>silver benzotriazole,GEDXAP,Water Stability,Stable,,"The AgBZT complex is constructed from all three of the Benzotriazole (BZT) nitrogens bonding to a separate silver atom. As a consequence of this bonding mode, the structure is a highly cross-linked, coordination polymer. The unit cell packing showing infinite cross-linked chains in the structure of AgBZT.",10.1016/j.jssc.2006.01.022
Ag–SIZ<|>AgC11H12N3O3S·H2O,OXUDES02,Water Stability,Stable,,"The Ag–SIZ complex is insoluble in ethanol, methanol, hexane, acetonitrile and water. It is soluble in dimethylsulfoxide (DMSO).",10.1016/j.poly.2016.09.046
"[Me2Sn{2,4-F2C6H3C(O)NO}]n<|>2a",BIYSAE,Water Stability,Stable,,"All compounds are stable in air, insoluble in water, and soluble in chloroform, acetone, DMSO, mixture of water/DMSO.",10.1016/j.jinorgbio.2007.12.010
[Cu(HBTC)(BPO)]·H2O<|>complex 1,KUWRAW,Water Stability,Stable,,The complexes 1 and 2 were employed to fabricate the bulk-modified CPEs due to their insolubility.,10.1016/j.solidstatesciences.2009.08.017
"[NaZn(1,2,4-BTC)]<|>compound 1",ATAHAE,Water Stability,Stable,,"Despite their synthesis from a mixed solvothermal condition, colorless samples of this material are stable in air and insoluble in water and common organic solvents such as alcohol, toluene, THF, DMF and DMSO.",10.1016/j.solidstatesciences.2003.11.002
"[Cu(3-dpye)(1,3-BDC)(H2O)]·H2O<|>complex 3",HEFNUD,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.jorganchem.2012.08.008
[Zn(HL)(bpy)(H2O)]<|>compound 1,FAXPOM,Water Stability,Stable,,"To examine the stability of compound 1 in solutions of different metal ions, the PXRD patterns of compound 1 after the sensing of metal ions were measured. These PXRD patterns are consistent with the simulated one (Fig. 9 ), which suggests the high stability of compound 1 in water.",10.1016/j.poly.2017.06.040
[Sb2(edta)2Ho(H2O)4]NO3·3.6H2O<|>compound 1,YAQKEI,Water Stability,Unstable,,"The products are stable in air and soluble in hot water, and not soluble in most common organic solvents.",10.1016/j.ica.2012.01.045
[Zn2(C3H2O4)2(H2O)2(μ 2-hmt)]n<|>Compound 1,SANBOZ,Water Stability,Stable,,"Complexes 1 and 2 are very stable in air and can be preserved for a long time at room temperature, and the dehydrated compounds of Complexes 1 and 2 all get rehydrated on exposure to humid (RH∼60%) atmosphere.",10.1016/j.jssc.2004.08.034
[Zn(atzipa)2]n<|>compound 1,ECIHIK,Water Stability,Unstable,,"Compounds 1 and 2 can be hardly dissolved in water. In order to improve their dispersity in water, co-precipitation was used. A mixture of 1mg PEG-5000 (Polyethylene Glycol) and 5mg of the two compounds were dissolved in THF with ultrasound for 20min. Then 200μL of such sample was injected into 10mL water with stirring. After that, the solution was bubbled by nitrogen gas for 20min. Then the nanoparticles (NPs) of the two compounds were obtained with the concentration of 200μg/mL. The solution was then stored in dark for further use.",10.1016/j.jssc.2017.10.013
[Ca(Hsucm)2]n<|>2,BUZZUS,Water Stability,Unstable,,"Compounds 1 and 2 are insoluble in common organic solvents, and decompose in H2O as evidenced by the molar Conductances of 1 and 2 (∼10−3 M) which show values larger than 250Scm2 mol−1. Both compounds present identical spectra with that of Li(Hsucm), indicating that both complexes decompose in solution releasing free Hsucm−.",10.1016/j.poly.2010.04.021
{[Zn(HL2)(H2O)3]·2H2O}n<|>complex 3,OGAKUD,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.ica.2008.01.043
"[Co(4,4′-bpy)(HCO2)2(H2O)]·4H2O<|>complex 3",FIFNUE01,Water Stability,Stable,,The crystals of 3 and 4 were observed to be lacklustre after exposure in air for a week and indiscerptible in water.,10.1016/j.micromeso.2005.11.046
{[Zn(L)2(NO3)2]}n<|>coordination polymer 1,QEJZIR01,Water Stability,Stable,,"1. ""In this work, a novel water-stable coordination polymer with {44} network topology {[Zn(L)2(NO3)2]}n (1) (L = 4,4′-Bis(triazol-1-ylmethyl)biphenyl) has been synthesized through the hydrothermal and sonochemical approaches.""
2. ""The experimental PXRD pattern of sample was good agreement with as-simulated, demonstrating the integrity of the framework under aqueous condition (Fig. S2).""",10.1016/j.ultsonch.2018.02.048
Na2K10[{Y(α-SiW11O39)(H2O)}2(μ-CH3COO)2]·18H2O·CsCl<|>{Y-1},IROHAZ,Water Stability,Stable,,"The solution properties of the polyanions were studied by multinuclear NMR spectroscopy (183W, 89Y, 29Si, 13C, and 1H). The title polyanion represents the first example of acetate-bridged yttrium-containing polyoxotungstates with the acetate ligand coordinated to the metal centers in the rare η2–μ1–μ1 mode. Solution NMR spectra of the title polyanions show that the dimeric head-on arrangement remains stable in aqueous solution. Further functionalization reactions of the new Y-POMs at the terminal aqua ligands are now scheduled.",10.1016/j.ica.2010.07.053
Na2K7Rb3[{Y(α-GeW11O39)(H2O)}2(μ-CH3COO)2]·16H2O<|>{Y-2},IROHED,Water Stability,Stable,,"The diamagnetic nature of the polyanion {Y-1} and {Y-2} permits the investigation of the stability of the polyanion in solution by 183W, 89Y, 29Si, 13C, and 1H NMR spectroscopy. Samples of polyanions {Y-1} and {Y-2} were redissolved in H2O/D2O. The NMR results show that the dimeric solid-state structures of {Y-1} and {Y-2} are still intact in aqueous solution. Multinuclear NMR investigations of these hybrid organic–inorganic polyoxometalates show that their dimeric solid-state structures are stable in aqueous solution.",10.1016/j.ica.2010.07.053
[Zn(5-OH-BDC)(btb)]·2H2O<|>Compound 1,CIWBUH,Water Stability,Stable,,"Compound 1, with the polythreaded layered structure, is relatively robust. When the PXRD is run at 180°C and held about 1h, a sufficient temperature to remove the interstitial water molecules, the PXRD pattern is slightly different from both the original pattern calculated from single-crystal X-ray diffraction structure analysis and the powder sample ( Fig. 6), which may be attributed to the interaction between the polythreaded aromatic rings causing the frameworks to be “locked” in position. The dehydrated material recovers back to the original structure after kept in the water vapour (not a condensed liquid) for ca. 1 week, indicating that the whole dehydration–rehydration process is completely reversible. The supramolecular networks 1, 2 and 4 belong to the category of “recoverable collapsing” and “guest-induced re-formation” frameworks, showing their possible potential application as water absorbent materials.",10.1016/j.jssc.2013.12.005
[Cd(5-OH-BDC)(btp)(H2O)]·3H2O<|>Compound 2,IVARAZ01,Water Stability,Stable,,"1. Treated similarly at 150°C for 1h, compound 2, a structure with the “embracing” double-layer, shows great changes in its powder diffraction pattern ( Fig. 7). This is to be expected because there are coordinated water molecules besides the lattice water molecules, which separate the adjacent hydrogen bonded double-layer structure. Their loss, therefore, is expected to be accompanied by a contraction of the solid. Notably, this contraction does not come at the cost of long-range order, since the dehydrated material is observed to remain crystalline. Upon exposure of the dehydrated material to water vapour for ca. 1 week at room temperature the original structure was regained with the dehydrated phase undergoing a reversible phase change. 2. The supramolecular networks 1, 2 and 4 belong to the category of “recoverable collapsing” and “guest-induced re-formation” frameworks, showing their possible potential application as water absorbent materials.",10.1016/j.jssc.2013.12.005
[La(4-pya)3(H2O)2]2<|>2 ·2MeOH·2H2O<|>compound 2,LAVDIW,Water Stability,Stable,,Both compounds are relatively air stable and virtually insoluble in common organic solvents. X-ray fluorescence analysis of solids 1 and 2 showed that there was no Cl in both samples. Their elemental analyses are consistent with the chemical formula of 1 and 2.,10.1016/j.jorganchem.2005.04.041
[CdL 2(NO3)2]·(C6H6)<|>polymer 2,QOBZOX,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.ica.2007.10.024
[Zn(bpy)(bdc)(H2O)]n<|>complex 1,HOPXAM,Water Stability,Stable,,The complexes thus isolated were found to be insoluble in water and common organic solvents.,10.1016/j.poly.2008.11.059
[Zn2(OH)(BTC)(bix)]·H2O<|>complex 1,QUGFII,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents at ambient conditions.,10.1016/j.ica.2009.09.014
[Cd(phen)(NO3)2(H2O)]n<|>1D Cd(II) coordination polymer<|>compound 1,NEYRIV,Water Stability,Unstable,,"The Cd(II) polymer is soluble in most of the polar solvents like methanol, dichloromethane and water. The Cd(II) polymer breaks down in polar solvents like methanol & water. Spectroscopic studies reveal that the polymer is unstable in polar solvents and dominates in monomeric form.",10.1016/j.molstruc.2018.04.081
[LaAg(C2O4)(na)2]·2H2O<|>Compound 3,RUBHOM,Water Stability,Stable,,The crystal is insoluble in water and common organic solvents.,10.1016/j.solidstatesciences.2008.04.022
[TbAg(C2O4)(na)2]·2H2O<|>Compound 4,RUBHUS,Water Stability,Stable,,The crystal is insoluble in water and common organic solvents.,10.1016/j.solidstatesciences.2008.04.022
AgMand<|>silver-mandelate,WEXZIJ,Water Stability,Unstable,,"The NMR 13C (D2O) spectra and potentiometric titration data clearly indicate that the solid-state polymeric structure is not maintained in solution. Only neutral dimer species were found in aqueous solution. 
The mandelate complex and the silver-glycolate, silver-malate and silver-hydrogen-tartarate complexes were tested against three types of mycobacteria, Mycobacterium avium, Mycobacterium tuberculosis and Mycobacterium kansasii, and their minimal inhibitory concentration (MIC) values were determined. The results show that the four complexes are potential candidates for antiseptic or disinfectant drugs for discharged secretions of patients affected with tuberculosis.",10.1016/j.jinorgbio.2006.10.001
SOD-[Zn(mim)2]<|>MAF-4,OFERUN04,Water Stability,Stable,,"MAF-4 possess exceptional chemical stability in boiling organic solvent, water, and even aqueous NaOH [26], which is very noteworthy compared with other types of PCPs. MAF-4, MAF-5, and MAF-7 were stable in all tested solvents at room temperature and also in refluxing methanol and benzene for at least 7days (Figs. S14–s16) [26]. The chemical stabilities of these MAFs only degrade and show difference in boiling water. The transformation of MAF-4 to an unidentified phase can be detected after 6days (Fig. S18) [49,50]. The low transformation/collapse rates at harsh conditions indicate that MAF-4 and MAF-7 are kinetically stable.",10.1016/j.micromeso.2011.11.033
SOD-[Zn(mtz)2]<|>MAF-7,KEYROX,Water Stability,Unstable,,"1. The chemical stabilities of these MAFs only degrade and show difference in boiling water. MAF-5 easily transforms to MAF-32 (Fig. S17), indicating that isomeric MAF-5 and MAF-32 are kinetically and thermodynamically favored phases in water, respectively. The transformation of MAF-4 to an unidentified phase can be detected after 6days (Fig. S18) [49,50]. For MAF-7, an unidentified phase also appears after 2days (Fig. S19). The low transformation/collapse rates at harsh conditions indicate that MAF-4 and MAF-7 are kinetically stable.

2. The relatively low stability of MAF-7 should be attributed to the unbound nitrogen atoms close to the unsaturated Zn centers (Zn···N 2.96Å).",10.1016/j.micromeso.2011.11.033
"[Gd(III)(2,4-D)3(H2O)2·2dmf]n<|>compound 1",UHELAU,Water Stability,Stable,,"The compounds do not behave as electrolytes in the solvents dmf, dmso, CHCl3 and CH2Cl2 and are insoluble in water.",10.1016/S0162-0134(02)00562-7
[(Cu3I2)(dimb)(dmtz)]n<|>Complex 2,XOYSUB,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.jssc.2014.11.014
[Cd(imaH)Cl2]n<|>compound 5,FATRUP,Water Stability,Stable,,"The compound was synthesized by solid-state grinding similar to the reactions in 1 and 4, except Cd(MeCO2 −)2·2H2O (13.3mg, 0.05mmol) was used (Scheme 3). After the reaction, the product was extracted with water, and pink crystals were obtained from the concentrated water–methanol solution incubated at room temperature for one day (42%, 6.5mg). All compounds were air stable and soluble in water but difficult to dissolve in common organic solvents such as THF, CHCl3, toluene and so on. All compounds were characterized by IR, Elemental Analyses and TGA. According to the IR spectra, the NO3 − vibration bands appeared at about 1075cm−1 for 2, the asymmetric stretching carboxyl group bands at about 1603 and 1376cm−1 (Δ=227cm−1) for 1, 1619 and 1374cm−1 (Δ=245cm−1) for 2, 1626 and 1396cm−1 (Δ=230cm−1) for 3, 1655 and 1399cm−1 (Δ=256cm−1) for 4, 1621 and 1396cm−1 (Δ =225cm−1) for 5, 1607 and 1400cm−1 (Δ=207cm−1) for 6, and 1592 and 1400cm−1 (Δ=192cm−1) for 7.",10.1016/j.poly.2012.04.018
[Cu3(IDA)6Nd2]·6(H2O)<|>complex 2,OFESEY,Water Stability,Stable,,"The XRPD patterns of the initially synthesized complexes and their corresponding deaquated species are very similar, which questions the stability of the deaquated species at ambient temperature. By carrying out the XRPD measurement at lower humidity (RH∼60%) the absorption of water molecules from atmosphere is avoided. The above mentioned observations suggest that the basic metal-organic frameworks are highly stable and remain practically unaffected even after removal of lattice water molecules, which have no strong interaction with the host network.",10.1016/j.poly.2006.12.042
[Cu3(IDA)6Gd2]·3(H2O)<|>complex 1,OFESAU,Water Stability,Stable,,"On exposure to humid atmosphere (RH∼90%), they revert as evidenced by IR spectra, TGA and X-ray powder diffraction (XRPD) studies (Fig. 11 ). However, the XRPD patterns of the initially synthesized complexes and their corresponding deaquated species are very similar, which questions the stability of the deaquated species at ambient temperature. By carrying out the XRPD measurement at lower humidity (RH∼60%) the absorption of water molecules from atmosphere is avoided. The above mentioned observations suggest that the basic metal-organic frameworks are highly stable and remain practically unaffected even after removal of lattice water molecules, which have no strong interaction with the host network.",10.1016/j.poly.2006.12.042
[Cu3(IDA)6Sm2]·6(H2O)<|>complex 3,OFESIC,Water Stability,Stable,,"The XRPD patterns of the initially synthesized complexes and their corresponding deaquated species are very similar, which questions the stability of the deaquated species at ambient temperature. By carrying out the XRPD measurement at lower humidity (RH∼60%) the absorption of water molecules from atmosphere is avoided. The above mentioned observations suggest that the basic metal-organic frameworks are highly stable and remain practically unaffected even after removal of lattice water molecules, which have no strong interaction with the host network.",10.1016/j.poly.2006.12.042
[Cd(4-Hptz)2(H2O)2Cl2]n<|>complex 1,LABQUB02,Water Stability,Stable,,"The stability and reusability of MOF photocatalyst in aqueous solution are necessary in following photocatalysis study. As shown in Fig. 10 , photocatalytic activities of three complexes have been evaluated by recycling reactions for Cr(VI) under UV light. And it is easy to see that the photocatalytic activity of these three photocatalysts do not obviously decrease after four recycles for the reduction of Cr(VI), indicating that these three catalysts are with good stability in the photoreaction, which is demonstrated by XRD. The cyclic 4 times experiments also indicated three photocatalysts are stable and reusable, enabling them to be potential candidates for wastewater treatment.",10.1016/j.poly.2018.09.064
Hg(Me2BPZ),XAWYAY,Water Stability,Stable,,"Hg(Me2BPZ) is insoluble in dimethyl sulfoxide, alcohols, acetone, acetonitrile, chlorinated solvents and water.",10.1016/j.ica.2017.07.025
[Cu(l-tart)(bpe)⊃8H2O]<|>5,CELKEL,Water Stability,Unstable,,"Attempts to obtain the solvent-free form of 5 by heating under vacuum overnight at 100°C resulted in the loss of crystallinity of the material. PXRD diffraction studies revealed that the structure of the framework was not retained under these conditions. Unlike 3, the role of the water molecules within the pores of 5 must be more crucial for overall structure stability, likely though hydrogen bonds between the solvent molecules and to the framework itself.",10.1016/j.jssc.2009.11.003
[Cu(l-tart)(bipy)⊃0.2H2O]<|>4,CELKAH,Water Stability,Stable,,The bulk material remained crystalline upon evacuation of the pores. Removal of the solvent water molecules has very little effect of the framework itself.,10.1016/j.jssc.2009.11.003
[Dy(Hcit)(H2O)]n<|>compound 4,NIHXEI01,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.molstruc.2007.07.027
{[Cu(bphz)2]·2BF4}n<|>compound 1,YUKCAJ,Water Stability,Stable,,The framework is stable in aqueous medium and insoluble in other organic solvents can be expected to undergo anion exchange reactions.,10.1016/j.cplett.2009.03.083
[Ln2Cu3(ida)6]·8H2O<|>compound 1<|>Ln=Ce,HAMREU,Water Stability,Stable,,"The crystallization water molecules were reported to be reversibly removed from the channels without affecting the skeleton of the structure, by examination of the dehydrated and rehydrated solids through powder diffraction techniques. With this in mind, these nanoporous solids offer interesting perspectives for the development of multifunctional heterobimetallic MOFs.",10.1016/j.molstruc.2011.08.007
[Ln2Cu3(ida)6]·8H2O<|>compound 2<|>Ln=Ho,HAMRIY,Water Stability,Stable,,"The crystallization water molecules were reported to be reversibly removed from the channels without affecting the skeleton of the structure, by examination of the dehydrated and rehydrated solids through powder diffraction techniques [11,17].",10.1016/j.molstruc.2011.08.007
"[{Cu(κN,OO′-L)}2(μ-1κN:2κN′-bpy)2]n<|>1",RASVIT,Water Stability,Unstable,,Both compounds 1 and 2 are soluble in water.,10.1016/j.poly.2017.05.013
[Cd(Qux)2(H2O)]n<|>complex 1,XUXRUD01,Water Stability,Stable,,"The room temperature IR spectrum of the crystalline complex [Cd(Qux)(H2O)]n 1 as a KBr pellet shows no bands around 2000–2100cm−1, indicating the absence of the azide ion. The expected bands of the ν(CO) and ν as(–COO−) around 1710–1720 and 1640–1660cm−1 for the free acid are absent in the IR spectrum of 1, instead, strong and broad bands around 1601, 1577 and 1403cm−1 appeared indicating that only carboxylato anions are coordinated to the Cd(II) ion [27]. In the high energy region complex 1 exhibits a strong broad band around 3573cm−1 corresponding to the water molecules coordinated to the Cd(II) ions bridging the 1D chain in complex 1. Hydrogen bonding of the type (O–H⋯N) is indicated in the spectrum by the presence of broad, medium strong bands near 2450cm−1 (IR) [28].",10.1016/j.poly.2005.08.043
[In(OH)(C2O4)(H2O)]3·H2O<|>compound 1,JEBDOK,Water Stability,Stable,,Complex 1 is stable and insoluble in water and most organic solvents.,10.1016/j.jssc.2005.09.025
{Cu(ppa)(tdp)(H2O)2}n<|>compound 3,MEFSEY,Water Stability,Unstable,,"However, after heating at 120°C, compound 2 decomposed to amorphous phase with the color change to dark brown and upon exposing to water vapor, this new phase was dissolved. This distinct difference in structural transformation behavior could be due to the different shape of N-donor spacers resulting in the different 2-fold interpenetrated 3D framework architecture between 2 and 3, although they exhibit the same topology with comparable square-pyramidal Cu(II) center.",10.1016/j.ica.2017.08.055
[Mn(H2GLYDTO)(H2O)2]n,BORBAM,Water Stability,Stable,,"The product is air stable and is insoluble in common organic solvents. The compound is stable up to 141°C and undergoes the first weight loss (12.4%) from 141 to 231°C, which may be due to the release of the coordinated water molecules (calcd. 11.1%) and partial decomposition of the ligand. The relatively high temperature for the loss of water molecules implies that hydrogen-bonding interactions occur in the crystal packing.",10.1016/j.poly.2008.12.030
[(UO2)(C15H8O5)(DMF)]n<|>compound 1,TAMHOH,Water Stability,Unstable,,"The title compound was exposed for three days to various solvents under solvothermal conditions to test its resistance to degradation. Powder X-ray diffractograms indicate that crystallinity was maintained in solvents with varying polarities at 120°C for three days (Fig. 4 ). Solvents with polarity indices from 0 (heptane) to 5.8 (ACN) do not seem to disrupt the overall crystal structure. However, after seven days, there was significant material degradation and loss of crystallinity as evidenced by PXRD. Using a solvent with higher polarity than DMF (in this case, water, 9.0), a reversible structure transformation between 1 and KUSDAE was noted.",10.1016/j.poly.2017.03.004
MOF Cu-TUH<|>Cu3(1)(H2O)3,HULCOI,Water Stability,Stable,,"The as-synthesized MOF crystals are insoluble in water and common organic solvents such as acetone, methanol, ethanol, chloroform, DMF, and DMSO.",10.1016/j.poly.2015.06.001
[Cu6(bip)12(PMoVI 12O40)2(PMoVMoVI 11O40O2)]·8H2O<|>compound 1,HUBQEC,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.jssc.2015.02.005
Cd[Mo2O2S2(cys)2]·2H2O<|>1-Cd,NARLEZ,Water Stability,Unstable,,The MOF is found to dissociate only in methanol but is otherwise insoluble in water which is due to highly polar ions or something. The MOF is insoluble in water and common organic solvents. It has a very unique shape and an interesting geometry. This MOF is found to be insoluble in water. After immersion in water the PXRD showed a shift in the peaks. This indicates some changes to the crystals.,10.1016/j.ica.2011.10.070
[Cu1.5(ina)(btcH)]·H2O<|>Polymer 1,WEZCEK,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1016/j.molstruc.2006.06.005
[Cu2(C8H4O8)(H2O)4]n·2nH2O<|>compound 1,RAZGOQ,Water Stability,Stable,,Compounds 1 and 2 were stable in air for long periods of time and were insoluble in organic solvents. Compound 2 was soluble in water.,10.1016/j.poly.2012.04.012
Mg(H2O)(C4H4O5)·H2O<|>Compound II,LICSUM,Water Stability,Unstable,,"The crystallinity did not return after the dehydrated sample was cooled in air. This is contrary to the reported thermal behavior of the cobalt analog, which remains crystalline after dehydration. Again, the material is unsuitable for gas storage applications.",10.1016/j.solidstatesciences.2006.12.003
[CdII(H2O)2][CuII(mal)2(H2O)2]n<|>compound 1,GURZID,Water Stability,Stable,,The compound shows reversible water absorption which correlates very well with the crystal structure. Further study in this line continues in our laboratory to explore this novel approach of producing porous materials. The water loss/gain is reversible and this is expected from the structure of the 3D framework as water not only fills the void spaces but simultaneously acts to saturate the metal centers coordinatively. The crystalline nature of the compound 1 was lost when it was heated in an air-oven at 240(±2)°C for completion of the dehydration process. The XPRD pattern of the dehydrated material reveals that it is amorphous in nature while the XRPD patterns of compound 1 and rehydrated compound 1 are strikingly similar with that of the simulated XRPD pattern of compound 1. These observations further support that the water loss/gain process is reversible and the crystalline nature of the compound 1 could be reversibly regenerated. Thus we conclude that the compound 1 upon dehydration and rehydration transforms from crystalline state to amorphous state and then back to crystalline state again.,10.1016/j.ica.2009.12.026
Nd2(TP)3(H2O)4<|>compound 1,AMIXOK,Water Stability,Stable,,"The treatment of Nd2O3, Er2O3, and Yb2O3 with terephthalic acid or a mixture of terephthalic acid and glutaric acid under hydrothermal conditions at 170°C resulted in the formation of water insoluble products that formed millimeter-sized crystals, microcrystalline powders, amorphous solids, or a mixture of these. All products contain coordinated water molecules, while one of them also accommodates interstitial water molecules.",10.1016/j.molstruc.2010.10.030
[Cd3(L1)2(DMA)4]n<|>compound 1,NEKMEX,Water Stability,Stable,,"The coordination polymers, once isolated are found to be air-stable and also insoluble in common organic solvents as well as in water.",10.1016/j.poly.2012.10.045
{[Co2(HL2)(L2)]·(Et4N)·(1.5H2O)}n<|>compound 4,NEKMUN,Water Stability,Stable,,"The coordination polymers, once isolated are found to be air-stable and also insoluble in common organic solvents as well as in water.",10.1016/j.poly.2012.10.045
{[Zn3(BTC)2(NH3)2(H2O)6]·2H2O}n<|>CP 2,NIZFUA,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as methanol, ethanol, DMF and DMSO.",10.1016/j.molstruc.2019.02.015
Cs[cyclo-O(CH2)4B(CF3)2]<|>Cs-8,EBEMUU,Water Stability,Stable,,The bis(trifluoromethyl)borates 7–9 show no tendency to dissociation with formation of tricoordinated species and are hence stable to water and hydrolysis.,10.1016/j.jfluchem.2004.01.018
[[Zn(2-MeBIM)(Pht)(H2O)]·2H2O]n<|>complex 2,FUQWAR,Water Stability,Stable,,"The improved hydrolytic stability of the complex 2, which is indeed observed under severe moist experimental conditions, could also be perhaps attributed to such interlocked supramolecular features of the system. The results (Fig. 6), showing close resemblance to those of their respective as-synthesized batches, in parallel lines to those of the FT-IR outcomes (Figs. S3 and S4), clearly indicate the moisture tolerant natures of the samples. Nevertheless, under identical conditions, the complex 2, did not present any such disintegration, and retained its crystalline appearances fully during this time period, without any major changes in its PXRD pattern (Fig. S6). The improved stability of the system 2, as discussed before, could be ascribed to its inter-locked supramolecular features, and the consequent scaffolding effects. The profiles (Fig. S7), which are in full agreements with those of the FT-IR experiments under identical situations (Fig. S8), clearly highlight the structural integrity of 2, even during the shuttling of environments between the wet and dry states [11–14,50,53,54], and thus indicate the suitability of the system 2, for reversible or endurance types of impedance tests.",10.1016/j.ica.2015.08.018
[Ca(N-MeIm)(4-nba)2]n<|>Compound 2,BOHLAM,Water Stability,Unstable,,Compounds 2 and 3 can be transformed into 1 by heating with water. The formation of 1 is evidenced by its characteristic IR spectrum and DSC thermogram. Alternatively 2 can be transformed to 1 by suspending an amount (200 mg) of 2 in water (5 ml) and heating the solution till dissolution of the solid. The hot solution is cooled to obtain 1 in quantitative yield.,10.1016/j.poly.2008.07.020
[Cu(NCS)(methyl nicotinate)]n<|>complex 1,WEBVOO,Water Stability,Stable,,"They are insoluble or slightly soluble in many common non-polar and polar solvents, e.g. benzene, toluene, water, methanol, ethanol, acetone, etc.",10.1016/S0277-5387(99)00385-X
"[Co(1,4-CDC)0.5(BTA)]<|>Complex 2",DOYWOE,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents at ambient conditions.,10.1016/j.ica.2008.08.025
[(ZnBTA0.5BPP·5H2O)n]<|>CP 3,LUNGEJ01,Water Stability,Stable,,"1. ""In order to study the stability of these CPs in water, we performed PXRD experiments to verify. As shown in Fig. S2, after the CPs were left in water for 7 days at room temperature, the diffraction peaks and intensities obtained were basically the same as those of the freshly prepared samples. These results indicate that these adsorbent materials 1–5 maintain sufficient stability in water.""",10.1016/j.ica.2020.119598
[Cd(4-Clpy)2(NCS)2]n<|>compound 1,EMASIU,Water Stability,Stable,,"These complexes are insoluble in many polar solvents, e.g., water, MeOH, EtOH, acetone, etc., suggesting their polymeric nature.",10.1016/S0277-5387(03)00457-1
[Cd(3-CNpy)(N3)2]n<|>compound 3,EMASUG,Water Stability,Unstable,,"These complexes are insoluble in many polar solvents, e.g., water, MeOH, EtOH, acetone, etc., suggesting their polymeric nature. They are, however soluble in DMSO. As we found previously [13], the H NMR spectra of the DMSO solutions of these complexes indicate complete substitution of NCS− or N 3 − anion by DMSO solvent molecules.",10.1016/S0277-5387(03)00457-1
{[Co(L1)(tbta)]·H2O}n<|>1,JETJAW,Water Stability,Stable,,1 and 2 are insoluble in water and thus are used as heterogeneous photocatalysts.,10.1016/j.poly.2018.02.021
"[Zn(L)(4,4′-bpy)0.5].(H2O)0.25<|>compound 1",FAYDAN,Water Stability,Stable,,"The hydrolytic robustness of 1–2 was examined under ambient conditions. Even after being immersed into water for 7 days, these water-soaked samples of 1–2 show no significant change in PXRD pattern compared to those of the pristine samples (Fig. 3b and d), indicating their hydrolytic robustness.",10.1016/j.ica.2017.06.067
[Zn(CH2(P(Ph)O2)2)]<|>[Zn(pcp)],EWAZAD,Water Stability,Stable,,"The complex, which is synthesized in water solution, is insoluble both in water and in organic solvents. No water molecules are present in the lattice, both of coordination and crystallization.",10.1016/j.jssc.2003.09.011
[La2(H2pda)(SO4)3(H2O)4]n<|>compound 1,GAFNUY,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as CH3OH, CH3CN, and CH3COCH3.",10.1016/j.molstruc.2010.06.029
[Pr2(H2pda)(SO4)3(H2O)4]n<|>compound 2,GAFPAG,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as CH3OH, CH3CN, and CH3COCH3.",10.1016/j.molstruc.2010.06.029
[Sm2(H2pda)(SO4)3(H2O)4]n<|>compound 4,GAFPIO,Water Stability,Stable,,"The MOF is not soluble either in H2O or common organic solvents such as CH3OH, CH3CN, and CH3COCH3.",10.1016/j.molstruc.2010.06.029
[Dy2(H2pda)(SO4)3(H2O)2]·2H2O<|>compound 7,GAFQAH,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as CH3OH, CH3CN, and CH3COCH3.",10.1016/j.molstruc.2010.06.029
"(trans-1,4-dach)0.5Co3(H2O)(OH)(PO4)(HPO4)·(3+x)H2O<|>compound 1",RIFQUT,Water Stability,Stable,,"The reversible dehydration and rehydration processes were evidenced by the losing and regaining weight of the sample. The 90% water molecules were recovered back in the structure. After these experiments, the XRD of the sample showed that crystallinity was unvaried. In a separated run, the sample was heated to 200°C, the recovery of structure after the contact of water vapor was still observed.",10.1016/j.jssc.2007.03.015
